Team,Opponent,Season,Round,Score,Player,Aces,Unforced Errors,Forced Errors,1st Serve In,1st Serve Out,Double Faults,Winners,Errors Forced,win?,Team Score,Opponent Score,votes,
Light Blue,Yellow,2,6,3-6,Emerson Wise,2,16,2,,,0,0,0,FALSE,3,6,1,
White,Navy,2,6,4-6,Quinn Feikema,0,7,7,,,3,4,7,FALSE,4,6,3,
White,Navy,2,6,4-6,Ed Simpson (Fill-in),1,6,2,,,2,1,4,FALSE,4,6,,
Navy,White,2,6,6-4,Will Mumme,0,5,6,,,3,11,5,TRUE,6,4,6,
Navy,White,2,6,6-4,Archie Littlejohn,0,6,7,,,0,4,3,TRUE,6,4,3,
Orange,Black,2,6,6-4,Jimmy Gorton,1,9,1,,,1,6,1,TRUE,6,4,6,
Orange,Black,2,6,6-4,Ed Simpson,1,15,1,,,1,2,0,TRUE,6,4,2,
Black,Orange,2,6,4-6,Charlie Simpson,0,12,1,,,0,6,2,FALSE,4,6,4,
Black,Orange,2,6,4-6,Conor Paraskevas,0,12,0,,,2,1,0,FALSE,4,6,,
White,Black,2,7,6-3,Quinn Feikema,2,9,2,,,1,4,0,TRUE,6,3,5,
White,Black,2,7,6-3,Declan Croucher,0,7,2,,,1,1,1,TRUE,6,3,1,
Black,White,2,7,3-6,Jonathan Kierce (Fill-in),1,10,1,,,0,4,2,FALSE,3,6,5,
Black,White,2,7,3-6,Conor Paraskevas,0,13,1,,,2,2,1,FALSE,3,6,1,
Pink,Orange,2,7,6-4,Jonathan Kierce,0,9,4,,,1,6,5,TRUE,6,4,6,
Pink,Orange,2,7,6-4,Damon Maurice,0,7,2,,,0,0,1,TRUE,6,4,2,
Orange,Pink,2,7,4-6,Jimmy Gorton,0,5,3,,,0,6,5,FALSE,4,6,4,
Orange,Pink,2,7,4-6,Ed Simpson,0,15,3,,,3,5,1,FALSE,4,6,,
Navy,Light Blue,2,7,6-2,Will Mumme,0,5,2,,,0,2,1,TRUE,6,2,1,
Navy,Light Blue,2,7,6-2,Archie Littlejohn,0,6,2,,,0,5,0,TRUE,6,2,6,
Light Blue,Navy,2,7,2-6,Emerson Wise,0,9,0,,,1,3,3,FALSE,2,6,3,
Light Blue,Navy,2,7,2-6,Angus Hume,0,9,1,,,0,4,1,FALSE,2,6,2,
Green,Red,2,7,0-6,Jack Raines,0,3,3,,,0,2,2,FALSE,0,6,2,
Green,Red,2,7,0-6,Ted Angel,0,7,2,,,1,0,0,FALSE,0,6,,
Red,Green,2,7,6-0,Lewis Mossman,0,5,2,,,0,4,2,TRUE,6,0,4,
Red,Green,2,7,6-0,Ethan Seamer,0,1,0,,,0,4,4,TRUE,6,0,6,
Black,Red,2,8,2-6,Charlie Simpson,0,3,1,,,0,0,0,FALSE,2,6,2,
Black,Red,2,8,2-6,Conor Paraskevas,0,10,0,,,1,0,0,FALSE,2,6,,
Red,Black,2,8,6-2,Lewis Mossman,3,8,0,,,1,6,1,TRUE,6,2,4,
Red,Black,2,8,6-2,Ethan Seamer,0,8,0,,,1,5,0,TRUE,6,2,6,
Orange,Green,2,8,6-2,Ed Simpson,0,7,0,,,1,6,1,TRUE,6,2,6,
Orange,Green,2,8,6-2,Jimmy Gorton,0,9,1,,,0,6,0,TRUE,6,2,4,
Green,Orange,2,8,2-6,Ted Angel,0,15,1,,,0,0,1,FALSE,2,6,1,
Green,Orange,2,8,2-6,Will Mumme (Fill-in),0,8,0,,,1,3,0,FALSE,2,6,1,
Yellow,Pink,2,8,6-3,Luke Sharrock,0,4,4,,,2,8,12,TRUE,6,3,6,
Yellow,Pink,2,8,6-3,Max Razums,0,6,3,,,0,2,0,TRUE,6,3,1,
Pink,Yellow,2,8,3-6,Jonathan Kierce,1,4,7,,,2,7,5,FALSE,3,6,4,
Pink,Yellow,2,8,3-6,Damon Maurice,0,3,5,,,0,1,3,FALSE,3,6,1,
White,Light Blue,2,8,4-6,Quinn Feikema,0,9,1,,,1,1,5,FALSE,4,6,,
White,Light Blue,2,8,4-6,Declan Croucher,0,8,3,,,1,2,5,FALSE,4,6,3,
Light Blue,White,2,8,6-4,Emerson Wise,0,6,5,,,1,0,2,TRUE,6,4,6,
Light Blue,White,2,8,6-4,Angus Hume,0,5,6,,,1,3,0,TRUE,6,4,3,
